"","X","id","trial_number","practice_trial","made_first_choice","made_final_choice","trial_set","order","added_gamble","risky_amount","risky_probability","safe_amount","safe_probability","decoy_amount","decoy_probability","first_left_gamble","first_right_gamble","first_response","first_response_gamble","final_left_gamble","final_right_gamble","final_response","final_response_gamble","random_trial","first_reaction_time","final_reaction_time","decoy_order","decoy_first_response_gamble","decoy_first_left_gamble","decoy_first_right_gamble","decoy_final_response_gamble","decoy_final_left_gamble","decoy_final_right_gamble","decoy_added_gamble"
"1",3,"id0001",1,0,1,1,"safeDecoy","DRS","S",78,0.26,26,0.77,18,0.77,"D","R","j","R","R","S","j","S",0,1218,1317,"DCT","C","D","C","T","C","T","T"
"2",4,"id0001",2,0,1,1,"riskyDecoy","DRS","S",86,0.42,56,0.64,86,0.32,"D","R","j","R","R","S","f","R",0,1123,2458,"DTC","T","D","T","T","T","C","C"
"3",5,"id0001",3,0,1,1,"safeDecoy","DSR","R",74,0.33,31,0.78,21,0.78,"D","S","j","S","R","S","j","S",0,1020,589,"DTC","T","D","T","T","C","T","C"
"4",6,"id0001",4,0,1,1,"safeDecoy","RDS","S",97,0.41,58,0.69,52,0.69,"R","D","j","D","D","S","j","S",0,1274,690,"CDT","D","C","D","T","D","T","T"
"5",7,"id0001",5,0,1,1,"safeDecoy","RSD","D",86,0.44,59,0.64,52,0.64,"R","S","f","R","R","D","f","R",0,1919,1469,"CTD","C","C","T","C","C","D","D"
"6",8,"id0001",6,0,1,1,"safeDecoy","SDR","R",75,0.35,46,0.57,36,0.57,"S","D","f","S","S","R","f","S",0,1003,2302,"TDC","T","T","D","T","T","C","C"
"7",9,"id0001",7,0,1,1,"riskyDecoy","DSR","R",98,0.32,42,0.75,98,0.18,"D","S","j","S","R","S","j","S",0,689,1531,"DCT","C","D","C","C","T","C","T"
"8",10,"id0001",8,0,1,1,"safeDecoy","SRD","D",87,0.26,39,0.58,30,0.58,"S","R","f","S","D","S","j","S",0,1683,768,"TCD","T","T","C","T","D","T","D"
"9",11,"id0001",9,0,1,1,"safeDecoy","DRS","S",72,0.21,20,0.75,11,0.75,"D","R","j","R","S","R","j","R",0,1199,1491,"DCT","C","D","C","C","T","C","T"
"10",12,"id0001",10,0,1,1,"safeDecoy","DSR","R",87,0.41,46,0.77,37,0.77,"D","S","j","S","R","S","f","R",0,1139,2143,"DTC","T","D","T","C","C","T","C"
"11",13,"id0001",11,0,1,1,"safeDecoy","RDS","S",95,0.38,53,0.68,47,0.68,"R","D","f","R","S","R","f","S",0,1527,1600,"CDT","C","C","D","T","T","C","T"
"12",14,"id0001",12,0,1,1,"safeDecoy","RSD","D",72,0.29,32,0.66,22,0.66,"R","S","j","S","S","D","f","S",0,1405,792,"CTD","T","C","T","T","T","D","D"
