id,delta_delta,delta_beta,delta_ll,delta_AIC,null_beta,null_ll,null_AIC
id0001,7.535838054937984,0.08304354799559652,-164.8537834397705,333.707566879541,0.09129727050520312,-170.42953543179584,342.8590708635917
id0002,3.356384353070853,0.06500016263849717,-176.8797017496326,357.7594034992652,0.07089680156695924,-177.598274222229,357.196548444458
id0003,6.393286647866643,0.08442637264323606,-169.17935431408466,342.3587086281693,0.09549535224179172,-173.42844915588412,348.85689831176825
id0004,11.680695965148011,0.06738034092886688,-166.34580027661536,336.6916005532307,0.08727079730737247,-174.92202863624155,351.8440572724831
id0005,1.2169177871893848,0.08511416452470245,-174.33026590869673,352.66053181739346,0.08763954727385638,-174.49136038579138,350.98272077158276
id0006,11.121591093137358,0.06381384399119157,-168.06136436978704,340.1227287395741,0.07607171381125219,-175.32925578989705,352.6585115797941
id0007,5.390600559347981,0.09133581487533603,-167.71658595393657,339.43317190787315,0.09618877770139052,-171.25980429456055,344.5196085891211
id0009,3.6846800692901405,0.08493737013858095,-172.31741213149203,348.63482426298407,0.09104471552629209,-173.78730992817836,349.5746198563567
id0010,5.573392384645076,0.08766841435949847,-168.32915449654578,340.65830899309157,0.09790896823822655,-171.79471114862702,345.58942229725403
id0011,12.327678985809813,0.05153099580767386,-171.89808890238706,347.7961778047741,0.06624189375031606,-177.76193390315436,357.5238678063087
id0012,1.184279881352645,0.081450598521859,-175.318943497106,354.637886994212,0.08404498601593732,-175.45932660757566,352.9186532151513
id0013,12.71407866797677,0.06438544048383368,-166.09137063018179,336.18274126036357,0.08812388527939409,-175.2349923216403,352.4699846432806
id0014,3.224930070940801,0.0773993034788917,-173.2563518596925,350.512703719385,0.08386280523510922,-174.18077656961106,350.3615531392221
id0015,-8.659492959850551,0.08177757227686336,-170.3561746020228,344.7123492040456,0.061001547519358094,-177.64672063892345,357.2934412778469
id0016,5.530395097583956,0.08269683115963848,-170.77007161914085,345.5401432382817,0.08818302417480015,-173.8937157106845,349.787431421369
id0017,3.2397063169365166,0.07577395949444574,-169.32049484058362,342.64098968116724,0.0802101561504127,-170.21322762646372,342.42645525292744
id0018,4.571077936499413,0.08934547300446213,-170.1393286347129,344.2786572694258,0.09669645586676505,-172.61213020136978,347.22426040273956
id0020,7.368777368926262,0.06964391230451936,-170.66382667920965,345.3276533584193,0.08004650705721696,-174.55055687580617,351.10111375161233
id0021,3.610026648725115,0.09986447499677208,-169.32144693983562,342.64289387967125,0.10548538185603562,-171.2352403294242,344.4704806588484
id0022,11.154574922528154,0.06306526297571939,-167.5434434972988,339.0868869945976,0.08191611496474882,-174.4491119265556,350.8982238531112
id0023,7.810428220557075,0.07028176635930164,-170.9825911769217,345.9651823538434,0.08226124432752094,-175.3928894246353,352.7857788492706
id0024,7.040541113854744,0.0768346019419485,-170.18677038341886,344.3735407668377,0.08844232654578914,-174.4608257071301,350.9216514142602
id0025,7.570520657540978,0.061183043219011336,-171.39037012258592,346.78074024517184,0.07273312372791522,-174.5111277521858,351.0222555043716
id0026,5.980258620137952,0.06779150540910855,-173.75156610571284,351.5031322114257,0.0779973077709217,-176.18538037969262,354.37076075938523
id0027,4.353040309100527,0.09730519830656531,-167.49598839082878,338.99197678165757,0.10314346245161382,-170.10705487400773,342.21410974801546
id0028,5.79123062573445,0.08932257762814984,-169.13141976461912,342.26283952923825,0.09848873449790563,-173.05756214808764,348.1151242961753
id0029,5.699971784007075,0.07688011594546625,-171.86313039822315,347.7262607964463,0.0865149033917074,-174.69791089796942,351.39582179593884
id0030,4.1231500993088925,0.08071841674732083,-173.18526520682576,350.3705304136515,0.0888121116729217,-174.83715482484286,351.6743096496857
id0031,9.791632304553145,0.06448813259192264,-169.87050588051957,343.74101176103915,0.08217205683836458,-175.50134939598445,353.0026987919689
id0032,1.9257018495697202,0.06670165601145099,-172.0751620016419,348.1503240032838,0.07137026045733041,-172.31021672890688,346.62043345781376
id0033,3.383590584207985,0.06634580882719787,-176.4054435922324,356.8108871844648,0.07363506295323485,-177.14907967827992,356.29815935655984
id0035,6.574282240578414,0.08275006014610838,-169.0967306981458,342.1934613962916,0.09321939406898537,-173.42881997008962,348.85763994017924
id0036,1.3798874328868855,0.07653381054484126,-174.4687667686465,352.937533537293,0.0796954852987307,-174.633746894475,351.26749378895
id0037,-3.589556162221526,0.06729884697798307,-178.19391020321373,360.38782040642747,0.060684465244664476,-179.09011384682398,360.18022769364796
id0038,6.733381189534174,0.08029203752606776,-168.0318154900022,340.0636309800044,0.09042757144155263,-172.24928439870024,346.4985687974005
id0039,9.2354272622369,0.07590879686377441,-167.3903906719448,338.7807813438896,0.08768033325604138,-174.4684102559685,350.936820511937
id0040,11.781478522739263,0.05984267617206393,-169.3764728625344,342.7529457250688,0.0743301878709448,-176.5372466824147,355.0744933648294
id0041,12.532228351728016,0.059528655272627524,-168.11564885919503,340.23129771839007,0.081333202624844,-175.82045144853493,353.64090289706985
id0042,7.612042693101711,0.09243373174481137,-162.9478199912355,329.895639982471,0.10141411362117926,-169.9019698395214,341.8039396790428
id0043,6.56884866565521,0.09155927087078396,-166.65495810554395,337.3099162110879,0.1033057752131149,-171.84014947185455,345.6802989437091
