"","id","age","gender","time_elapsed","monetary_score"
"1","id0001",20,"female",1215071,0
"2","id0002",21,"female",965888,101
"3","id0003",18,"Female",1425497,181
"4","id0004",19,"female",1129455,214
"5","id0005",21,"woman",1201873,175
"6","id0006",19,"Female",3614958,188
"7","id0007",18,"Male",1058586,0
"8","id0008",19,"Female",872198,146
"9","id0009",18,"Female",1632247,185
"10","id0010",19,"Female",1024412,32
"11","id0011",21,"Female",1168340,191
"12","id0012",21,"Male",1192056,184
"13","id0013",20,"female",1237857,165
"14","id0014",19,"female",1266421,135
"15","id0015",17,"female",1130260,179
"16","id0016",20,"female ",7319035,133
"17","id0017",18,"female",13901470,95
"18","id0018",19,"Female",952556,203
"19","id0019",19,"Female",1300694,106
"20","id0020",20,"women",1353530,193
"21","id0021",18,"Female",1064000,205
"22","id0022",19,"Female",1246848,46
"23","id0023",19,"Male",1415383,74
"24","id0024",19,"Female",1128994,98
"25","id0025",18,"female",1096009,86
"26","id0026",21,"Female",1197025,150
"27","id0027",19,"Male",974648,73
"28","id0028",19,"Male",1253794,143
"29","id0029",20,"Female",1077078,134
"30","id0030",18,"femal",1037818,31
"31","id0031",21,"female",74193646,158
"32","id0032",21,"Male",1754224,120
"33","id0033",19,"Male",1405760,286
"34","id0034",18,"female",1910712,0
"35","id0035",20,"female",1344780,190
"36","id0036",20,"female",1190981,220
"37","id0037",19,"Female",1270699,264
"38","id0038",18,"male",1255879,151
"39","id0039",21,"female",1199143,70
"40","id0040",21,"Male",1102884,121
"41","id0041",18,"Female",1151671,118
"42","id0042",19,"female",1201055,187
"43","id0043",19,"male",1220195,104
"44","id0044",19,"Female",2672595,107
"45","id0045",18,"Female",1307709,132
"46","id0046",21,"female",1256767,49
"47","id0047",19,"Male",1499866,140
"48","id0048",20,"Male",1156293,189
"49","id0049",20,"F",2168234,220
"50","id0050",19,"female",925804,87
"51","id0051",20,"Woman",1276460,134
"52","id0052",20,"female",1382839,0
"53","id0053",22,"woman",1082715,176
"54","id0054",18,"Male",1300060,195
"55","id0055",18,"female",1058549,164
"56","id0056",20,"Female ",1296826,36
"57","id0057",21,"Female",1134641,102
"58","id0058",18,"Female",2328339,127
"59","id0059",20,"female",1199316,154
"60","id0060",19,"Male",1210309,278
"61","id0061",18,"Female",1078057,87
"62","id0062",20,"Female",1328896,195
"63","id0063",19,"Female",13047553,214
"64","id0064",18,"female",1016511,154
"65","id0065",18,"Male",1253207,129
"66","id0066",18,"Male",1126511,234
"67","id0067",18,"Male",1565262,211
"68","id0068",21,"female",1516632,76
