"","X","id","trial_number","practice_trial","made_first_choice","made_final_choice","trial_set","order","added_gamble","risky_amount","risky_probability","safe_amount","safe_probability","decoy_amount","decoy_probability","first_left_gamble","first_right_gamble","first_response","first_response_gamble","final_left_gamble","final_right_gamble","final_response","final_response_gamble","random_trial","first_reaction_time","final_reaction_time","decoy_order","decoy_first_response_gamble","decoy_first_left_gamble","decoy_first_right_gamble","decoy_final_response_gamble","decoy_final_left_gamble","decoy_final_right_gamble","decoy_added_gamble"
"1",3,"id0001",1,0,1,1,"riskyDecoy","DRS","S",73,0.44,42,0.77,73,0.3,"D","R","j","R","R","S","j","S",0,1901,3446,"DTC","T","D","T","C","T","C","C"
"2",5,"id0001",3,0,1,1,"riskyDecoy","RDS","S",79,0.42,54,0.61,79,0.28,"R","D","f","R","S","R","f","S",0,943,667,"TDC","T","T","D","C","C","T","C"
"3",6,"id0001",4,0,1,1,"riskyDecoy","RSD","D",83,0.22,27,0.68,83,0.1,"R","S","j","S","D","S","j","S",0,612,695,"TCD","C","T","C","C","D","C","D"
"4",7,"id0001",5,0,1,1,"riskyDecoy","SDR","R",90,0.39,50,0.7,90,0.27,"S","D","f","S","R","S","j","S",0,908,676,"CDT","C","C","D","C","T","C","T"
"5",8,"id0001",6,0,1,1,"safeDecoy","DRS","S",85,0.33,49,0.57,44,0.57,"D","R","f","D","S","D","f","S",1,564,1362,"DCT","D","D","C","T","T","D","T"
"6",9,"id0001",7,0,1,1,"safeDecoy","DSR","R",87,0.26,31,0.74,23,0.74,"D","S","j","S","S","R","f","S",0,1821,1103,"DTC","T","D","T","T","T","C","C"
"7",10,"id0001",8,0,1,1,"riskyDecoy","SRD","D",76,0.34,36,0.71,76,0.21,"S","R","f","S","S","D","f","S",0,632,555,"CTD","C","C","T","C","C","D","D"
"8",11,"id0001",9,0,1,1,"safeDecoy","RDS","S",74,0.42,39,0.79,30,0.79,"R","D","j","D","S","D","f","S",0,754,854,"CDT","D","C","D","T","T","D","T"
"9",12,"id0001",10,0,1,1,"safeDecoy","RSD","D",87,0.39,57,0.6,51,0.6,"R","S","j","S","S","D","f","S",0,1118,1254,"CTD","T","C","T","T","T","D","D"
"10",13,"id0001",11,0,1,1,"safeDecoy","SDR","R",83,0.31,38,0.68,28,0.68,"S","D","f","S","S","R","f","S",0,1430,849,"TDC","T","T","D","T","T","C","C"
"11",14,"id0001",12,0,1,1,"riskyDecoy","DRS","S",94,0.22,27,0.76,94,0.09,"D","R","j","R","S","R","f","S",0,898,472,"DTC","T","D","T","C","C","T","C"
