id,delta_delta,delta_beta,delta_ll,delta_AIC,null_beta,null_ll,null_AIC
id0001,9.41277668010246,0.07726099890091363,-165.5908899755033,335.1817799510066,0.0898039169640129,-173.12428510493675,348.2485702098735
id0002,0.19349662883609214,0.07767634515070448,-176.33942593265064,356.6788518653013,0.0781591104151348,-176.34278327041855,354.6855665408371
id0003,7.854394049508586,0.06760708905981161,-170.4866437043183,344.9732874086366,0.08080237535426928,-174.5781979892078,351.1563959784156
id0004,8.078463725732199,0.07552588518106049,-169.25837421646256,342.5167484329251,0.08928055061861649,-174.62955591273172,351.25911182546344
id0005,3.4029868511549406,0.06979611396845906,-166.33965666157678,336.67931332315356,0.07641079997684767,-167.13777022006346,336.2755404401269
id0006,7.687665548412257,0.06745860827400063,-171.78855344949284,347.5771068989857,0.08374145826482245,-175.61943136039275,353.2388627207855
id0007,5.051365135754658,0.07741869600462299,-172.48949060404365,348.9789812080873,0.0874884837087171,-174.74018006917217,351.48036013834434
id0008,6.102328718312789,0.08498545525131676,-165.21241411273564,334.4248282254713,0.09390303127510707,-169.03647454617794,340.0729490923559
id0009,10.077996447668918,0.06658299647025244,-168.98164145437252,341.96328290874504,0.08473779042458376,-175.31867725123257,352.63735450246514
id0010,9.848861446846016,0.08492125322046656,-159.85174659810642,323.70349319621283,0.09615767330286437,-169.41922454907169,340.83844909814337
id0012,7.695832125143198,0.07280814984855981,-170.29744219364494,344.5948843872899,0.0873617698227236,-174.80199848486222,351.60399696972445
id0013,-1.997393799969751,0.06668445616214182,-175.49862492918467,354.99724985836934,0.06288916305537323,-175.76481099712754,353.5296219942551
id0015,5.456891158572415,0.07410143011005123,-172.87665122248782,349.75330244497565,0.08364443134139352,-175.3078561914872,352.6157123829744
id0016,5.317571170499548,0.07891367037552856,-171.57209030925065,347.1441806185013,0.08935598814603973,-174.15014950394382,350.30029900788765
id0017,2.84587361473562,0.06546861221233577,-175.91320706924395,355.8264141384879,0.07001702094979864,-176.44094517324874,354.88189034649747
id0018,2.949597153737348,0.08195363893147103,-173.6760848648289,351.3521697296578,0.0875632863376736,-174.55111169539592,351.10222339079183
id0019,5.162183038446494,0.09790978996672714,-166.9987765465747,337.9975530931494,0.10633525196136011,-170.71449917273767,343.42899834547535
id0022,3.333191848015526,0.08519647430642367,-172.93994075436484,349.8798815087297,0.0905985739830702,-174.1573086384775,350.314617276955
id0023,0.641433330703191,0.07580680206803425,-176.62590814036548,357.25181628073096,0.07710594955979937,-176.66186144253822,355.32372288507645
id0024,2.533506448488686,0.0829621361738088,-167.30525096761104,338.6105019352221,0.08732778929770246,-167.94706931472342,337.89413862944684
id0025,11.659624340102532,0.05059461773568628,-172.9380344504976,349.8760689009952,0.06793899760660094,-177.9417253118148,357.8834506236296
id0026,3.7636370116511784,0.06374336002193327,-176.67900703995616,357.3580140799123,0.07088012756262578,-177.5383754213229,357.0767508426458
id0027,6.4167945556763115,0.07067484972045007,-172.63923929942806,349.2784785988561,0.08416801798127918,-175.61528021381721,353.23056042763443
id0028,7.63134972287476,0.07567088191662887,-170.1368668727188,344.2737337454376,0.08925136784803948,-174.97336996039488,351.94673992078975
id0029,1.9465028512973466,0.08224804681426491,-174.42705078261565,352.8541015652313,0.0854328369040887,-174.81410187487583,351.62820374975166
id0030,5.39318544282212,0.07597094237103828,-172.22935925831814,348.4587185166363,0.0816948930891154,-174.76531430599783,351.53062861199567
id0031,10.590970722695404,0.061940095540063474,-170.21516780363092,344.43033560726184,0.07811597295080581,-176.4084684147846,354.8169368295692
id0032,5.759967171043954,0.09376366657710114,-166.22690585181095,336.4538117036219,0.1019219701827051,-170.44826150804084,342.8965230160817
id0033,3.556253542607474,0.07407107911886293,-170.92447038095997,345.84894076191995,0.07724824053024136,-171.97005643646466,345.9401128729293
id0035,4.906397614591513,0.07532814593969778,-157.34998500462635,318.6999700092527,0.0799851455880511,-159.23831517659045,320.4766303531809
id0036,1.675808583801514,0.08402112984383824,-173.03521112377913,350.07042224755827,0.0877080884692211,-173.32957526440438,348.65915052880877
id0037,6.300999236889906,0.07213650040591203,-172.53886519712793,349.07773039425587,0.08123798037480841,-175.61869998652196,353.2373999730439
id0038,-0.6004495302274915,0.07865253701213828,-176.4248118686978,356.8496237373956,0.07715886589585862,-176.45804830876784,354.9160966175357
id0039,10.424385928156926,0.06922012449601266,-167.84429851210655,339.6885970242131,0.08621678268631966,-175.20979196811894,352.41958393623787
id0040,7.916674501185592,0.07543731231737676,-167.92709853724085,339.8541970744817,0.08854839604679873,-173.0479465264077,348.0958930528154
id0041,7.235042397018487,0.08527139297674445,-167.2505425082997,338.5010850165994,0.09583792805940822,-172.74285700787485,347.4857140157497
id0042,4.435956670679376,0.07553336608679918,-173.86270507902742,351.72541015805484,0.08399406895289835,-175.5354297898377,353.0708595796754
id0043,10.133606555906491,0.054096361456201995,-173.63686395414445,351.2737279082889,0.0648093131360784,-178.13522928691287,358.27045857382575
id0044,6.104792045107138,0.0749835616456827,-166.8679250208737,337.7358500417474,0.08576605048142392,-169.86903970915634,341.7380794183127
